SchoolYear,OrganizationLevel,County,ESDName,ESDOrganizationId,DistrictCode,DistrictName,DistrictOrganizationId,SchoolCode,SchoolName,SchoolOrganizationId,CurrentSchoolType,GradeLevel,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Foster Care,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Foster Care,Non-Homeless,Non-Low Income,Non Migrant,Non Military Parent,Non Mobile,Non Section 504,Students without Disabilities,DataAsOf
2010-11,State,Multiple,State Total,,,State Total,,,State Total,,,10th Grade,81549,39794,0,41755,1422,5970,4048,13380,608,3935,52175,3467,496,1219,33287,1422,0,6300,2027,8744,78082,81053,80330,48262,80127,81549,75249,79522,72805,05/22/2020 12:00:00 AM
2010-11,State,Multiple,State Total,,,State Total,,,State Total,,,11th Grade,79693,38961,0,40732,1369,6085,3766,12330,642,3509,51987,3126,441,1354,30621,1405,0,6992,2081,8211,76567,79252,78339,49072,78288,79693,72701,77612,71482,05/22/2020 12:00:00 AM
2010-11,State,Multiple,State Total,,,State Total,,,State Total,,,12th Grade,83524,40610,0,42914,1525,6142,3963,11833,656,3206,56187,2540,333,2187,30419,1204,0,8483,1832,8935,80984,83191,81337,53105,82320,83524,75041,81692,74589,05/22/2020 12:00:00 AM
2010-11,State,Multiple,State Total,,,State Total,,,State Total,,,1st Grade,77585,37723,0,39862,1226,5633,3467,16425,742,4938,45127,13258,588,1408,39599,1569,0,4017,641,9412,64327,76997,76177,37986,76016,77585,73568,76944,68173,05/22/2020 12:00:00 AM
2010-11,State,Multiple,State Total,,,State Total,,,State Total,,,2nd Grade,77196,37754,0,39442,1261,5667,3460,15976,736,4804,45254,10956,595,1535,38912,1583,0,3664,733,10907,66240,76601,75661,38284,75613,77196,73532,76463,66289,05/22/2020 12:00:00 AM
2010-11,State,Multiple,State Total,,,State Total,,,State Total,,,3rd Grade,76039,37216,0,38823,1219,5558,3533,15339,713,4549,45108,8854,541,1401,38361,1495,0,3499,918,11612,67185,75498,74638,37678,74544,76039,72540,75121,64427,05/22/2020 12:00:00 AM
2010-11,State,Multiple,State Total,,,State Total,,,State Total,,,4th Grade,78152,38039,0,40113,1261,5555,3481,15770,728,4653,46683,7516,466,1374,38938,1680,0,3424,1147,12076,70636,77686,76778,39214,76472,78152,74728,77005,66076,05/22/2020 12:00:00 AM
2010-11,State,Multiple,State Total,,,State Total,,,State Total,,,5th Grade,78349,38177,0,40172,1372,5484,3620,14809,782,4626,47638,6255,458,1454,37090,1575,0,3160,1494,11884,72094,77891,76895,41259,76774,78349,75189,76855,66465,05/22/2020 12:00:00 AM
2010-11,State,Multiple,State Total,,,State Total,,,State Total,,,6th Grade,77863,37723,0,40140,1378,5324,3729,14528,638,4516,47721,5277,461,1281,36912,1505,0,3134,1556,10834,72586,77402,76582,40951,76358,77863,74729,76307,67029,05/22/2020 12:00:00 AM
2010-11,State,Multiple,State Total,,,State Total,,,State Total,,,7th Grade,78005,37917,0,40088,1413,5592,3684,14029,626,4221,48415,3922,485,1215,36164,1462,0,3521,1771,9655,74083,77520,76790,41841,76543,78005,74484,76234,68350,05/22/2020 12:00:00 AM
2010-11,State,Multiple,State Total,,,State Total,,,State Total,,,8th Grade,78045,37952,0,40093,1382,5693,3659,13834,660,4120,48676,3854,521,1284,34539,1512,0,3984,1903,9344,74191,77524,76761,43506,76533,78045,74061,76142,68701,05/22/2020 12:00:00 AM
2010-11,State,Multiple,State Total,,,State Total,,,State Total,,,9th Grade,83478,40229,0,43249,1551,6009,4479,14511,699,4204,52018,3799,647,1403,36211,1428,0,6470,2012,9580,79679,82831,82075,47267,82050,83478,77008,81466,73898,05/22/2020 12:00:00 AM
2010-11,State,Multiple,State Total,,,State Total,,,State Total,,,AllGrades,1045333,506669,0,538664,17816,74839,49475,195035,9179,57478,641240,87241,6715,18902,477753,19382,0,63647,18491,141583,958092,1038618,1026431,567580,1025951,1045333,981686,1026842,903750,05/22/2020 12:00:00 AM
2010-11,State,Multiple,State Total,,,State Total,,,State Total,,,Half-day Kindergarten,55949,27072,0,28877,752,3100,1469,11861,432,3551,34765,9346,455,929,25358,898,0,3221,262,6459,46603,55494,55020,30591,55051,55949,52728,55687,49490,05/22/2020 12:00:00 AM
2010-11,State,Multiple,State Total,,,State Total,,,State Total,,,Kindergarten,19415,9436,0,9979,309,1961,1839,5012,370,1415,8501,5017,207,496,11555,450,0,1222,96,1958,14398,19208,18919,7860,18965,19415,18193,19319,17457,05/22/2020 12:00:00 AM
2010-11,State,Multiple,State Total,,,State Total,,,State Total,,,Pre-Kindergarten,20491,8066,0,12425,376,1066,1278,5398,147,1231,10985,54,21,362,9787,194,0,2556,18,11972,20437,20470,20129,10704,20297,20491,17935,20473,8519,05/22/2020 12:00:00 AM
2010-11,School,Grays Harbor,Capital Region ESD 113,100004,14005,Aberdeen School District,100010,2834,A J West Elementary,100863,P,1st Grade,73,38,0,35,1,1,0,22,0,11,38,14,3,5,61,2,0,4,0,14,59,70,68,12,71,73,69,73,59,05/22/2020 12:00:00 AM
2010-11,School,Grays Harbor,Capital Region ESD 113,100004,14005,Aberdeen School District,100010,2834,A J West Elementary,100863,P,2nd Grade,69,31,0,38,5,1,0,31,0,2,30,12,1,0,61,2,0,1,0,12,57,68,69,8,67,69,68,69,57,05/22/2020 12:00:00 AM
2010-11,School,Grays Harbor,Capital Region ESD 113,100004,14005,Aberdeen School District,100010,2834,A J West Elementary,100863,P,3rd Grade,51,27,0,24,1,0,0,16,0,6,28,7,3,1,42,2,0,6,0,12,44,48,50,9,49,51,45,51,39,05/22/2020 12:00:00 AM
2010-11,School,Grays Harbor,Capital Region ESD 113,100004,14005,Aberdeen School District,100010,2834,A J West Elementary,100863,P,4th Grade,56,26,0,30,0,0,2,27,0,4,23,9,0,5,46,2,0,3,0,7,47,56,51,10,54,56,53,56,49,05/22/2020 12:00:00 AM
2010-11,School,Grays Harbor,Capital Region ESD 113,100004,14005,Aberdeen School District,100010,2834,A J West Elementary,100863,P,5th Grade,47,22,0,25,1,0,0,17,0,8,21,5,1,2,38,4,0,4,1,13,42,46,45,9,43,47,43,46,34,05/22/2020 12:00:00 AM
2010-11,School,Grays Harbor,Capital Region ESD 113,100004,14005,Aberdeen School District,100010,2834,A J West Elementary,100863,P,6th Grade,64,27,0,37,3,1,0,23,0,4,33,9,2,3,50,6,0,4,0,9,55,62,61,14,58,64,60,64,55,05/22/2020 12:00:00 AM
2010-11,School,Grays Harbor,Capital Region ESD 113,100004,14005,Aberdeen School District,100010,2834,A J West Elementary,100863,P,AllGrades,442,205,0,237,14,3,2,169,0,38,216,70,13,23,365,21,0,24,1,83,372,429,419,77,421,442,418,441,359,05/22/2020 12:00:00 AM
2010-11,School,Grays Harbor,Capital Region ESD 113,100004,14005,Aberdeen School District,100010,2834,A J West Elementary,100863,P,Kindergarten,55,21,0,34,2,0,0,25,0,2,26,14,3,6,48,3,0,2,0,12,41,52,49,7,52,55,53,55,43,05/22/2020 12:00:00 AM
2010-11,School,Grays Harbor,Capital Region ESD 113,100004,14005,Aberdeen School District,100010,2834,A J West Elementary,100863,P,Pre-Kindergarten,27,13,0,14,1,0,0,8,0,1,17,0,0,1,19,0,0,0,0,4,27,27,26,8,27,27,27,27,23,05/22/2020 12:00:00 AM
2010-11,School,Grays Harbor,Capital Region ESD 113,100004,14005,Aberdeen School District,100010,3216,Central Park Elementary,100867,P,1st Grade,24,13,0,11,1,0,0,5,0,1,17,2,1,2,13,1,0,3,0,4,22,23,22,11,23,24,21,24,20,05/22/2020 12:00:00 AM
2010-11,School,Grays Harbor,Capital Region ESD 113,100004,14005,Aberdeen School District,100010,3216,Central Park Elementary,100867,P,2nd Grade,36,19,0,17,1,0,0,7,0,6,22,2,1,1,17,0,0,3,0,4,34,35,35,19,36,36,33,36,32,05/22/2020 12:00:00 AM
2010-11,School,Grays Harbor,Capital Region ESD 113,100004,14005,Aberdeen School District,100010,3216,Central Park Elementary,100867,P,3rd Grade,22,10,0,12,0,0,0,3,0,2,17,1,0,0,6,0,0,1,0,6,21,22,22,16,22,22,21,22,16,05/22/2020 12:00:00 AM
2010-11,School,Grays Harbor,Capital Region ESD 113,100004,14005,Aberdeen School District,100010,3216,Central Park Elementary,100867,P,4th Grade,21,13,0,8,0,0,0,0,0,3,18,0,0,1,13,0,0,0,0,1,21,21,20,8,21,21,21,21,20,05/22/2020 12:00:00 AM
2010-11,School,Grays Harbor,Capital Region ESD 113,100004,14005,Aberdeen School District,100010,3216,Central Park Elementary,100867,P,5th Grade,19,8,0,11,0,1,0,2,0,3,13,1,0,1,6,0,0,1,0,3,18,19,18,13,19,19,18,19,16,05/22/2020 12:00:00 AM
2010-11,School,Grays Harbor,Capital Region ESD 113,100004,14005,Aberdeen School District,100010,3216,Central Park Elementary,100867,P,6th Grade,19,7,0,12,0,1,0,4,0,1,13,3,1,1,10,1,0,0,0,2,16,18,18,9,18,19,19,19,17,05/22/2020 12:00:00 AM
2010-11,School,Grays Harbor,Capital Region ESD 113,100004,14005,Aberdeen School District,100010,3216,Central Park Elementary,100867,P,AllGrades,190,92,0,98,2,2,0,29,0,20,137,11,3,6,90,3,0,10,0,27,179,187,184,100,187,190,180,190,163,05/22/2020 12:00:00 AM
