"Police Precinct/Geographic Location","Location Type","Shootings","Overall DV","Population","Rate Population","Shooting Rate","Overall DV Rate","Actual  Shootings White","Expected Shootings White","Actual Shootings Black","Expected Shootings Black","Actual Shootings Asian PI","Expected Shootings Asian PI","Actual Shootings  American Indian AN","Expected Shootings American Indian AN","Actual Shootings Other","Expected Shootings Other","Actual  DIRs White","Expected DIRs White","Actual DIRs Black","Expected DIRs Black","Actual DIRs Asian PI","Expected DIRS Asian PI","Actual DIRs  American Indian AN","Expected DIRs American Indian AN","Actual DIRs Other","Expected DIRs Other","NYC Population White","NYC Population Black","NYC Population Asian PI","NYC Population American Indian AN","NYC Population Other","Actual Shootings Male","Expected Shootings Male","Actual Shootings Female","Expected Shootings Female","Actual DIR Male","Expected DIRs Male","Actual DIRs Female","Expected DIRs Female","NYC Population Male","NYC Population Female"
"1","Police Precinct","6","2,375","74,684","224,052","0.27","106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5","Police Precinct","14","2,529","52,533","157,599","0.89","160.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","Police Precinct","5","1,282","63,195","189,585","0.26","67.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7","Police Precinct","34","5,530","58,019","174,057","1.95","317.71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9","Police Precinct","26","5,376","78,647","235,941","1.1","227.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10","Police Precinct","19","3,522","59,220","177,660","1.07","198.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13","Police Precinct","14","3,112","96,200","288,600","0.49","107.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14","Police Precinct","29","2,969","24,370","73,110","3.97","406.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17","Police Precinct","4","1,885","82,829","248,487","0.16","75.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18","Police Precinct","10","3,105","60,539","181,617","0.55","170.96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19","Police Precinct","11","4,374","211,479","634,437","0.17","68.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20","Police Precinct","14","2,457","108,963","326,889","0.43","75.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22","Police Precinct","1","60","26","78","128.21","7,692.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23","Police Precinct","112","12,804","75,217","225,651","4.96","567.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24","Police Precinct","28","4,993","106,687","320,061","0.87","156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"25","Police Precinct","117","7,982","50,975","152,925","7.65","521.96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26","Police Precinct","30","4,084","50,221","150,663","1.99","271.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28","Police Precinct","87","5,686","47,140","141,420","6.15","402.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30","Police Precinct","49","5,318","62,344","187,032","2.62","284.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32","Police Precinct","151","13,411","73,512","220,536","6.85","608.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
